ilmenite_head_grade;rego_heat
1;0.29496149508275
2;0.2967887626675464
3;0.29861603025234273
4;0.3004432978371391
5;0.3022705654219355
6;0.3040978330067316
7;0.30592510059152805
8;0.30775236817632434
9;0.3095796357611207
10;0.31140690334591703
11;0.3132341709307133
12;0.3150614385155097
13;0.316888706100306
14;0.31871597368510235
15;0.3205432412698987
16;0.32237050885469504
17;0.3241977764394913
18;0.3260250440242876
19;0.3278523116090839
20;0.32967957919388036
21;0.33150684677867653
22;0.33333411436347293
23;0.3351613819482693
24;0.33698864953306557
25;0.338815917117862
26;0.34064318470265825
27;0.34247045228745465
28;0.3442977198722509
29;0.34612498745704723
30;0.3479522550418436
31;0.34977952262663997
32;0.35160679021143626
33;0.35343405779623255
34;0.3552613253810289
35;0.3570885929658253
36;0.35891586055062147
37;0.3607431281354179
38;0.3625703957202142
39;0.36439766330501056
40;0.3662249308898069
41;0.36805219847460313
42;0.3698794660593995
43;0.3717067336441959
44;0.37353400122899216
45;0.3753612688137885
46;0.3771885363985848
47;0.3790158039833812
48;0.38084307156817754
49;0.3826703391529738
50;0.38449760673777017
51;0.3863248743225663
52;0.3881521419073629
53;0.38997940949215915
54;0.39180667707695543
55;0.3936339446617518
56;0.395461212246548
57;0.3972884798313444
58;0.39911574741614075
59;0.4009430150009371
60;0.4027702825857335
61;0.40459755017052973
62;0.4064248177553261
63;0.4082520853401224
64;0.4100793529249187
65;0.41190662050971516
66;0.41373388809451134
67;0.41556115567930774
68;0.417388423264104
69;0.41921569084890037
70;0.4210429584336967
71;0.4228702260184929
72;0.42469749360328934
73;0.4265247611880857
74;0.42835202877288203
75;0.43017929635767843
76;0.43200656394247455
77;0.43383383152727095
78;0.4356610991120674
79;0.43748836669686364
80;0.43931563428165993
81;0.4411429018664564
82;0.44297016945125256
83;0.444797437036049
84;0.44662470462084525
85;0.44845197220564154
86;0.4502792397904378
87;0.4521065073752343
88;0.4539337749600306
89;0.4557610425448269
90;0.45758831012962325
91;0.45941557771441954
92;0.461242845299216
93;0.46307011288401223
94;0.4648973804688085
95;0.46672464805360486
96;0.46855191563840115
97;0.47037918322319755
98;0.47220645080799384
99;0.4740337183927902
